21:20:13.674 [main] INFO  c.a.n.c.e.SearchableProperties - [sortPropertySourceDefaultOrder,197] - properties search order:PROPERTIES->JVM->ENV->DEFAULT_SETTING
21:20:13.725 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
21:20:14.055 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
21:20:14.055 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
21:20:17.462 [main] INFO  c.l.p.a.PmHubAuthApplication - [logStartupProfileInfo,638] - The following 1 profile is active: "dev"
21:20:19.644 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-6800"]
21:20:19.645 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
21:20:19.645 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.83]
21:20:19.833 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
21:20:20.300 [main] INFO  org.redisson.Version - [logVersion,41] - Redisson 3.16.2
21:20:21.097 [redisson-netty-2-17] INFO  o.r.c.p.MasterPubSubConnectionPool - [lambda$run$0,166] - 1 connections initialized for localhost/127.0.0.1:6379
21:20:21.125 [redisson-netty-2-20] INFO  o.r.c.p.MasterConnectionPool - [lambda$run$0,166] - 24 connections initialized for localhost/127.0.0.1:6379
21:20:22.095 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
21:20:25.909 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-6800"]
21:20:25.939 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
21:20:25.939 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
21:20:26.155 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,76] - nacos registry, DEFAULT_GROUP pmhub-auth 192.168.46.1:6800 register finished
21:20:26.780 [main] INFO  c.l.p.a.PmHubAuthApplication - [logStarted,61] - Started PmHubAuthApplication in 14.193 seconds (JVM running for 15.588)
21:20:26.796 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=pmhub-auth-dev.yml, group=DEFAULT_GROUP
21:20:26.797 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=pmhub-auth.yml, group=DEFAULT_GROUP
21:20:26.797 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=pmhub-auth, group=DEFAULT_GROUP
21:20:28.274 [RMI TCP Connection(3)-192.168.46.1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21:27:56.523 [http-nio-6800-exec-5] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'2',当前请求'2',缓存key'limitTestcom.laigeoffer.pmhub.auth.controller.LoginController-limitTest'
21:27:56.523 [http-nio-6800-exec-8] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'2',当前请求'1',缓存key'limitTestcom.laigeoffer.pmhub.auth.controller.LoginController-limitTest'
21:29:16.891 [http-nio-6800-exec-9] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'2',当前请求'1',缓存key'limitTestcom.laigeoffer.pmhub.auth.controller.LoginController-limitTest'
21:29:16.993 [http-nio-6800-exec-10] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'2',当前请求'2',缓存key'limitTestcom.laigeoffer.pmhub.auth.controller.LoginController-limitTest'
21:32:14.226 [http-nio-6800-exec-10] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'2',当前请求'1',缓存key'limitTestcom.laigeoffer.pmhub.auth.controller.LoginController-limitTest'
21:32:14.333 [http-nio-6800-exec-1] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'2',当前请求'2',缓存key'limitTestcom.laigeoffer.pmhub.auth.controller.LoginController-limitTest'
21:39:00.178 [http-nio-6800-exec-1] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'1',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:39:00.263 [http-nio-6800-exec-2] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'2',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:39:00.372 [http-nio-6800-exec-4] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'3',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:39:00.483 [http-nio-6800-exec-3] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'4',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:39:00.595 [http-nio-6800-exec-8] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'5',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:39:00.707 [http-nio-6800-exec-7] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'6',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:39:00.815 [http-nio-6800-exec-6] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'7',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:39:00.927 [http-nio-6800-exec-5] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'8',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:39:01.038 [http-nio-6800-exec-9] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'9',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:45:13.520 [http-nio-6800-exec-1] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'1',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:45:13.628 [http-nio-6800-exec-4] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'2',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:45:13.739 [http-nio-6800-exec-3] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'3',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
21:45:13.850 [http-nio-6800-exec-8] INFO  c.l.p.b.c.a.RateLimiterAspect - [doBefore,60] - 限制请求'10',当前请求'4',缓存key'rate_limit:logincom.laigeoffer.pmhub.auth.controller.LoginController-login'
